times,scores
2020-08-30 12:23:56,0.756
2020-08-31 01:52:10,0.63
2020-08-31 21:06:26,0.861
2020-09-02 23:46:57,0.522
2020-09-03 18:40:42,0.805
2020-09-05 02:21:25,0.744
2020-09-06 09:51:21,0.578
2020-09-07 02:54:02,0.562
2020-09-07 03:19:59,0.772
2020-09-07 13:59:03,0.562
2020-09-09 12:52:10,0.636
2020-09-09 16:42:29,0.856
2020-09-10 09:45:15,0.758
2020-09-10 10:29:27,0.758
2020-09-10 11:11:55,0.476
2020-09-12 03:50:38,1.0
2020-09-12 04:05:33,1.0
2020-09-14 15:18:22,0.674
2020-09-14 16:03:26,0.674
2020-09-14 22:29:09,0.674
2020-09-17 07:26:33,0.671
2020-09-22 10:08:17,1.0
2020-09-22 10:22:43,1.0
2020-09-22 10:28:21,0.642
2020-09-24 06:39:34,1.0
2020-09-24 13:54:10,0.312
2020-09-26 09:21:53,0.61
2020-09-26 09:30:37,0.724
2020-09-27 12:03:35,0.867
2020-09-28 06:03:44,0.742
2020-10-01 00:21:24,0.742
2020-10-02 12:58:06,0.611
2020-10-03 12:52:20,0.72
2020-10-04 05:02:02,0.515
2020-10-05 03:05:47,0.46
2020-10-05 09:45:14,0.492
2020-10-05 10:58:35,0.694
2020-10-05 11:04:36,0.397
2020-10-10 09:16:19,0.598
2020-10-10 14:16:47,0.483
2020-10-10 17:33:52,1.0
2020-10-11 16:32:31,0.485
2020-10-11 16:38:14,0.62
2020-10-11 16:43:25,0.633
2020-10-13 17:06:46,0.542
2020-10-14 22:17:15,0.779
2020-10-15 08:53:07,1.0
2020-10-15 13:58:34,0.756
2020-10-16 18:11:34,0.385
2020-10-16 19:49:16,1.0
2020-10-16 19:51:38,1.0
2020-10-16 20:24:54,1.0
2020-10-16 20:28:01,1.0
2020-10-22 06:25:59,0.667
2020-10-23 17:37:46,1.0
2020-10-23 17:42:44,1.0
2020-10-23 17:50:30,0.596
2020-10-23 19:29:20,0.42
2020-10-25 00:46:49,0.825
2020-10-25 00:54:02,0.825
2020-10-25 01:48:58,0.656
2020-10-25 01:55:45,0.656
2020-10-25 03:05:00,0.656
2020-10-26 14:10:35,0.705
2020-10-26 17:55:52,0.613
2020-10-27 06:07:30,0.471
2020-10-27 16:52:26,0.428
2020-10-27 16:56:52,0.428
2020-10-27 21:41:39,0.42
2020-10-28 10:25:07,0.64
2020-10-29 04:44:14,0.734
2020-11-02 08:04:07,0.703
2020-11-02 09:30:42,0.538
2020-11-03 20:04:07,0.354
2020-11-04 22:04:06,1.0
2020-11-05 12:31:01,0.507
2020-11-07 22:48:48,1.0
2020-11-07 23:05:40,0.137
2020-11-08 13:07:21,0.605
2020-11-08 13:25:20,0.605
2020-11-09 11:06:09,0.743
2020-11-09 11:08:58,0.743
2020-11-09 11:11:45,0.743
2020-11-10 06:20:46,0.823
2020-11-10 06:33:00,0.208
2020-11-10 17:21:19,1.0
2020-11-13 23:56:17,0.641
2020-11-16 11:57:29,1.0
2020-11-17 22:28:05,0.666
2020-11-18 10:42:15,0.625
2020-11-18 17:48:43,1.0
2020-11-21 09:22:16,0.672
2020-11-21 09:48:03,0.818
2020-11-21 09:51:10,0.818
2020-11-21 11:53:29,1.0
2020-11-22 23:45:39,0.808
2020-11-22 23:52:32,0.808
2020-11-23 01:15:46,0.47
2020-11-23 02:39:37,0.617
2020-11-23 02:40:07,0.649
2020-11-23 02:49:52,0.492
2020-11-23 02:54:13,0.713
2020-11-23 03:28:52,0.492
2020-11-23 04:28:30,0.642
2020-11-23 08:21:58,0.664
2020-11-23 09:14:37,0.885
2020-11-23 10:17:19,0.686
2020-11-23 10:23:39,0.686
2020-11-23 10:27:54,0.686
2020-11-23 11:17:33,0.664
2020-11-24 23:51:46,1.0
2020-11-25 00:20:33,1.0
2020-11-25 00:32:33,1.0
2020-11-25 00:39:39,0.697
2020-11-25 00:48:53,0.906
2020-11-25 00:57:03,0.697
2020-11-25 01:00:50,1.0
2020-11-25 01:01:20,0.906
2020-11-25 01:02:43,0.906
2020-11-25 01:03:08,1.0
2020-11-25 01:04:38,0.697
2020-11-25 01:04:58,0.556
2020-11-25 03:28:40,1.0
2020-11-25 21:37:25,0.672
2020-11-28 16:39:20,0.703
2020-11-29 07:00:40,0.833
2020-11-29 17:23:50,0.665
2020-12-02 07:43:25,0.696
2020-12-02 21:12:05,0.693
2020-12-03 07:33:37,0.645
2020-12-05 07:11:05,0.685
2020-12-05 19:07:03,0.783
2020-12-06 11:53:06,0.564
2020-12-07 04:54:14,0.545
2020-12-07 06:56:09,0.762
2020-12-07 07:03:31,0.762
2020-12-07 07:28:45,0.762
2020-12-07 13:04:39,1.0
2020-12-08 15:05:25,0.817
2020-12-13 04:02:01,0.467
2020-12-13 14:44:31,0.826
2020-12-13 15:19:19,0.776
2020-12-16 22:28:51,1.0
2020-12-17 17:22:48,0.594
2020-12-18 15:02:22,0.641
2020-12-19 12:42:16,0.917
2020-12-19 15:25:46,0.851
2020-12-21 19:40:51,0.792
2020-12-22 20:19:17,0.495
2020-12-23 05:50:40,0.26
2020-12-23 09:57:46,0.26
2020-12-23 16:35:49,0.388
2020-12-24 07:05:32,0.548
2020-12-24 10:45:14,0.553
2020-12-24 10:46:48,0.8
2020-12-24 11:37:13,0.553
2020-12-24 11:57:05,0.75
2020-12-24 13:21:29,0.685
2020-12-25 18:51:21,0.442
2020-12-26 21:03:27,0.777
2020-12-26 21:22:23,0.669
2020-12-26 22:18:40,0.777
2020-12-26 22:23:30,0.777
2020-12-27 08:32:19,1.0
2020-12-27 09:35:22,1.0
2020-12-27 16:15:31,0.754
2020-12-29 07:12:56,0.6
2020-12-29 07:21:14,0.686
2021-01-03 14:31:09,0.564
2021-01-03 17:43:04,0.688
2021-01-06 14:45:52,0.583
2021-01-06 14:56:36,0.725
2021-01-07 17:08:09,0.68
2021-01-07 21:32:40,0.574
2021-01-08 06:57:21,0.577
2021-01-09 15:06:17,0.446
2021-01-09 15:22:53,0.446
2021-01-09 15:24:37,0.446
2021-01-09 15:36:15,0.446
2021-01-09 17:51:03,0.574
2021-01-15 23:32:16,0.718
2021-01-17 17:21:35,0.444
2021-01-18 15:36:05,0.665
