times,scores
2020-03-14 04:08:19,0.27
2020-03-19 17:01:18,0.33
2020-03-21 17:47:59,0.135
2020-03-22 16:33:24,0.359
2020-03-23 14:34:20,0.511
2020-03-24 04:30:32,0.206
2020-03-28 22:37:41,0.0
2020-03-29 18:37:50,0.073
2020-03-30 10:26:35,0.073
2020-03-30 12:58:15,0.0
2020-03-30 13:04:03,0.0
2020-03-30 13:07:21,0.172
2020-03-30 13:15:32,0.289
2020-03-30 13:17:46,0.161
2020-03-30 16:49:59,0.359
2020-03-30 18:04:02,0.0
2020-03-31 21:55:33,0.147
2020-04-13 05:00:26,0.125
2020-04-13 07:38:06,0.202
2020-04-13 12:43:36,0.295
2020-04-14 16:45:17,0.0
2020-04-15 14:31:13,0.0
2020-04-16 04:39:39,0.0
2020-04-18 01:15:59,0.114
2020-04-21 01:37:11,0.482
2020-04-26 00:39:11,0.208
2020-04-27 04:35:28,0.0
2020-04-27 07:40:34,0.068
2020-04-27 22:32:02,0.16
2020-04-28 17:41:37,0.238
2020-04-28 18:10:51,0.238
2020-05-03 17:22:07,0.242
2020-05-06 03:37:51,0.0
2020-05-07 09:37:02,0.0
2020-05-08 13:02:40,0.515
2020-05-08 14:40:35,0.415
2020-05-13 01:07:51,0.0
2020-05-13 01:23:25,0.559
2020-05-13 01:25:30,0.559
2020-05-13 15:08:07,0.208
2020-05-14 06:07:11,0.454
2020-05-15 02:30:17,0.196
2020-05-18 14:13:51,0.25
2020-05-20 19:30:39,0.0
2020-05-20 19:35:01,0.0
2020-05-23 13:07:54,0.067
2020-05-23 13:18:21,0.439
2020-05-23 15:10:16,0.0
2020-05-23 15:28:38,0.0
2020-05-23 16:02:49,0.0
2020-05-23 16:56:07,0.545
2020-05-26 01:21:46,0.381
2020-05-26 02:37:00,0.122
2020-05-26 02:42:32,0.397
2020-05-26 03:21:02,0.208
2020-05-26 04:01:09,0.27
2020-05-26 04:03:51,0.27
2020-05-26 04:05:54,0.208
2020-05-26 04:19:35,0.392
2020-05-26 04:20:05,0.27
2020-05-26 04:53:25,0.27
2020-05-26 05:16:46,0.392
2020-05-26 05:37:51,0.278
2020-05-29 09:38:45,0.097
2020-05-30 00:56:49,0.231
2020-05-30 01:02:17,0.097
2020-05-30 01:10:57,0.492
2020-05-30 01:11:11,0.27
2020-05-30 02:34:57,0.119
2020-05-30 02:42:54,0.0
2020-05-30 03:23:15,0.097
2020-05-30 05:16:17,0.097
2020-05-31 17:08:17,0.246
2020-06-03 06:39:52,0.312
2020-06-04 00:21:19,0.161
2020-06-06 18:43:26,0.0
2020-06-06 20:55:21,0.551
2020-06-07 01:10:06,0.0
2020-06-07 01:36:52,0.0
2020-06-07 01:39:40,0.0
2020-06-07 01:41:25,0.0
2020-06-07 01:44:43,0.0
2020-06-07 02:45:30,0.0
2020-06-07 07:29:52,0.271
2020-06-07 07:33:41,0.271
2020-06-07 08:56:48,0.205
2020-06-07 09:02:22,0.205
2020-06-07 09:15:42,0.271
2020-06-07 09:30:12,0.0
2020-06-07 12:51:42,0.474
